"nombre","categoria","mias_o_comunidad","origen","ruta_original","hash_sha256","fecha_modificacion","confianza","ruta_biblioteca","razon_archivo","tipo"
"add-emails","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-emails; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-emails","C:\dev\jewel-ghl\core\skills\add-emails","F5C3BA23EEBEEB12DAA1E880DD3893757CA7D8FD6EF4A3FBA2B6BFC9D5614560","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-emails","","instruccion"
"add-mobile","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-mobile; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-mobile","C:\dev\jewel-ghl\core\skills\add-mobile","7F268C5F31CE8B51AC4B2670A466D849FB2317332DFE9ED560C2EC4F86EABBCE","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-mobile","","instruccion"
"add-payments","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-payments; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-payments","C:\dev\jewel-ghl\core\skills\add-payments","429A53CC867BDA68B6D6B50D6BEE10954B8F9C2F854BD5C17AA3BB19955439A4","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-payments","","instruccion"
"add-ui-kit","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-ui-kit; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-ui-kit","C:\dev\jewel-ghl\core\skills\add-ui-kit","939CA4CEB02F9B1A9986551F46CF750E605D4F7AF3AF28C4626BF7057F6E4523","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-ui-kit","","instruccion"
"agent-browser","agentes-meta","comunidad","agents=C:\Users\vonde\.agents\skills\agent-browser","C:\Users\vonde\.agents\skills\agent-browser","BB6B4C5AAE49FF88ADDB31312437F94242A3E5AAE950503AB4F332E28186C261","30/06/2026 12:34:11 a. m.","alta","C:\skills-library\agentes-meta\comunidad\agent-browser","","instruccion"
"ask-matt","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\ask-matt","C:\Users\vonde\.agents\skills\ask-matt","017EFE5A6165F2BEAD4C0537096CE3B476FFE0554E9B14CB39010F35122A7FDE","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\ask-matt","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"codebase-design","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\codebase-design","C:\Users\vonde\.agents\skills\codebase-design","22D3815E5629DDEA7ED7C9F8E7C330F6A1559466EE904E58371E1E8A10BE0C4B","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\codebase-design","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"domain-modeling","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\domain-modeling","C:\Users\vonde\.agents\skills\domain-modeling","004D5CB6258658F2E9CBF0D9F90BDC9104F8B83BD296556783800C31D503814F","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\domain-modeling","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"find-skills","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\find-skills","C:\Users\vonde\.agents\skills\find-skills","C00EEEA0E13E74FE4A9D84BA0A8542205A1B736D65F13134FE1A6647EB14976F","29/07/2026 07:20:19 p. m.","alta","C:\skills-library\_archivo\find-skills","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"grill-me","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\grill-me","C:\Users\vonde\.agents\skills\grill-me","9C71927D4F0FD32D815247B4CA1FC782D4C5F2F3C1D6D023D188D4A7E0299B21","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\grill-me","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
